umls_id,mondo_id
C0005745,728
C2930995,736
C0042174,739
C0455938,740
C0221237,741
C0206186,743
C0024110,744
C0018790,745
C0795690,747
C0019322,747
C0024904,748
C0151463,749
C0518988,750
C0007855,751
C0085434,758
C0577625,770
C0577627,776
C0030824,795
C1735886,811
C0037933,812
C0041308,813
C0279593,814
C2930930,816
CN232319,824
C0036117,827
CN232116,839
C0345244,858
C1838103,863
C0279583,871
C0279584,872
C0079748,873
C1332998,874
C0280634,875
C0006846,879
C0521585,888
C1880119,892
C1266036,893
C0474836,898
C0795950,902
CN228165,904
C3810138,908
C4310805,909
C1839368,910
C3151039,911
C1833319,912
C2674219,913
C4551768,914
C0178238,916
C0014179,918
C0153454,919
C0345916,921
C0242172,922
C1370824,923
C0155918,924
C0524799,925
C0152198,926
C0153167,927
C0339116,928
C0334426,929
C0334424,930
C0345746,933
C1334370,934
C0240164,935
C0153166,936
C0153168,937
C0238440,938
C0021874,939
C0041227,940
C0155209,941
C0010034,942
C0339286,943
C0042485,945
C0022575,948
C0155160,949
C0004095,950
C1336745,951
C3265932,952
C0153518,953
C0153429,954
C0153425,956
C0155253,957
C0154874,958
C0155593,959
C0011875,960
C0011871,960
C0852937,961
C0334474,962
C1333455,963
C1333970,965
C0205823,966
C1333059,967
C1335744,968
C1335434,969
C0349565,970
C1332932,971
C1333747,972
C0347423,973
C0347429,974
C0153972,975
C1335348,976
C1266131,977
C1333509,978
C0031946,979
C0155733,980
C0153279,981
C0039730,984
C0032231,986
C0152456,987
C0026780,989
C0264710,990
C0155702,991
C1302530,993
C1334615,994
C1335512,996
C0152204,997
C0340184,1000
C0340177,1001
C0238377,1003
C0340186,1004
C0264435,1005
C0271342,1006
C0154653,1007
C1305875,1012
C1279296,1014
C0154652,1015
C0153602,1016
C1510784,1017
C0750903,1019
C0002418,1020
C0152190,1021
C0152189,1022
C0023486,1023
C0524688,1024
C0153205,1025
C0578661,1027
C0001342,1028
C0155131,1030
C0271431,1031
C0155072,1032
C0155071,1033
C0155067,1034
C0155070,1035
C0020641,1036
C0155068,1037
C0151844,1038
C0740402,1039
C0027441,1040
C0266846,1041
C0158317,1042
C0021828,1045
C0155262,1048
C0152107,1049
C0155395,1050
C0149948,1051
C0155396,1052
C0155392,1053
C0155157,1054
C1334585,1057
C0349532,1059
C0349530,1060
C0153418,1061
C0153419,1062
C0153417,1063
C0155429,1064
C1517744,1066
C0275998,1067
C0154756,1073
C0271650,1076
C0038054,1078
C0152166,1079
C0153195,1080
C0269061,1081
C0015624,1083
C0155291,1084
C0041349,1085
C0155295,1086
C0340304,1088
C0340308,1089
C0155627,1090
C0940607,1091
C1333092,1092
C1333094,1093
C0154944,1094
C1334673,1095
C1334653,1096
C0156321,1101
C0017536,1103
C0020544,1105
C0035078,1106
C1565489,1106
C0346866,1108
C0155448,1109
C0085697,1110
C0282312,1112
C0155689,1113
C1384588,1114
C0025469,1116
C0025637,1117
C2979888,1118
C0025322,1119
C0008683,1120
C0016735,1121
C0008698,1122
C0008712,1123
C0153193,1125
C0038358,1126
C0158321,1127
C0728864,1128
C1334923,1129
C1334921,1130
C0024588,1133
C0085580,1134
C0156315,1136
C0153066,1137
C0267367,1138
C0155492,1141
C0149772,1142
C0152221,1143
C0271370,1144
C0271371,1145
C0025299,1147
C0347887,1148
C0155583,1151
C0549160,1154
C0156047,1155
C0156045,1155
C0156050,1155
C0156044,1155
C0156042,1155
C0156048,1155
C0040409,1165
C0027697,1166
C0270804,1167
C0154694,1168
C0154698,1169
C0156327,1171
C0036133,1172
C0269038,1173
C2960113,1175
C0549651,1176
C0155161,1178
C0152255,1179
C0155111,1180
C0155110,1181
C0155109,1182
C0474442,1183
